ID_Origen,Query,Categoria_Real,SubCategoria_Real,ID_Recuperado,Categoria_Recuperada,SubCategoria_Recuperada,Similitud_Coseno,Umbral_Dinamico,Modo,Tiempo_Segundos,Effort_Manual_Horas,Acierto_Categoria,Acierto_SubCategoria,Acierto_ID,Solucion_Real,Recomendacion_SIR,Es_Llamada_Real
9106,Se reporta un error en la ejecución de un pipeline en Azure Data Factory (adf-logisticacorporativo-prd) llamado pipeline...,Azure Data Factory,Pipelines,9106,Azure Data Factory,Pipelines,0.9645,0.75,RAG,2.55,1.0,1,1,1,"Se procedió a reprocesar la carga de datos asociada al pipeline afectado. Esta acción permitió que el pipeline se ejecutara correctamente y la carga de datos se completara sin inconvenientes, resolviendo la incidencia reportada.","Recomendación simulada Hito 2 v4 para el ticket 9106. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 9106.",False
11859,Documentos Faltantes: El área usuaria reportó que la OC 7500031507 (y otras correlativas) no eran visibles en el aplicat...,Azure Data Factory,Requerimiento,11859,Azure Data Factory,Requerimiento,0.8788,0.65,RAG,2.211,7.0,1,1,1,"Se corrigió la secuencia lógica en el pipeline pipeline_maestro_ZTBMM, vinculando correctamente la actividad de alerta al path de ejecución correspondiente. Se validó que el template ahora sea íntegro y ejecutable.
Se invita a los responsables de poblar la informacion correspondiente en esa columna EK_KDATE de modo que la logica pueda mostrarlo en el aplicativo vitales","Recomendación simulada Hito 2 v4 para el ticket 11859. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 11859.",False
8853,El pipeline maestro_personal_destacado en el Data Factory adf-logisticacorporativo-prd falló durante su ejecución (ID: 0...,Azure Data Factory,Pipelines,8853,Azure Data Factory,Pipelines,0.8857,0.75,RAG,2.58,4.0,1,1,1,"Se contactó a Milagros por correo electrónico para derivar la revisión de la conexión a la base de datos, ya que el error apunta a un problema de conectividad subyacente a pesar de que la prueba de conexión inicial fue exitosa.","Recomendación simulada Hito 2 v4 para el ticket 8853. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8853.",False
9315,El pipeline MastercargaIncrementalPosicionMonetaria falló durante la ejecución de una actividad de Databricks. El error ...,Azure Data Factory,Pipelines,9315,Azure Data Factory,Pipelines,0.9051,0.75,RAG,2.033,1.0,1,1,1,"Se procedió a reprocesar la carga de datos que estaba fallando. Tras el reproceso, la carga se completó con normalidad, indicando que el problema inicial fue transitorio y se resolvió con una nueva ejecución.","Recomendación simulada Hito 2 v4 para el ticket 9315. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 9315.",False
5704,"Se observó que el modelo Capex no se estaba actualizando correctamente, lo que generaba inconsistencias en los datos rep...",Azure Data Factory,Triggers,5704,Azure Data Factory,Triggers,0.8892,0.65,RAG,2.222,2.0,1,1,1,"Se revisó la configuración del trigger general y se corrigió la falla, asegurando que esté habilitado y configurado correctamente para disparar el pipeline de reprocesamiento del modelo Capex. Se verificó la ejecución exitosa del trigger.","Recomendación simulada Hito 2 v4 para el ticket 5704. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 5704.",False
7738,El programa de vitales para logística no se ha actualizado correctamente. Se reporta la falta de actualización de datos ...,Azure Data Factory,Pipelines,7738,Azure Data Factory,Pipelines,0.7977,0.65,RAG,2.604,1.0,1,1,1,"Se investigará el pipeline o proceso responsable de la actualización de datos para el programa de vitales en logística. Se verificarán los logs de ejecución, la conectividad con las fuentes de datos y la integridad de los datos de origen para identificar y corregir el error.","Recomendación simulada Hito 2 v4 para el ticket 7738. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 7738.",False
9101,Se reportó una incidencia en el pipeline 'pipeline_maestro_MARC' dentro del Data Factory 'adf-logisticacorporativo-prd'....,Azure Data Factory,Pipelines,9101,Azure Data Factory,Pipelines,0.9703,0.75,RAG,2.611,1.0,1,1,1,"Se procedió a reprocesar la carga de datos afectada. Este reprocesamiento permitió que el pipeline ejecutara la actividad de manera exitosa, superando el error de interpretación del mensaje de fallo y completando la carga con normalidad.","Recomendación simulada Hito 2 v4 para el ticket 9101. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 9101.",False
8798,"El pipeline 'pipeline_maestro_EKKO' en el Data Factory 'adf-logisticacorporativo-prd' falló durante su ejecución, genera...",Azure Data Factory,Pipelines,8798,Azure Data Factory,Pipelines,0.8743,0.75,RAG,1.852,1.0,1,1,1,"Se procedió a reprocesar la carga diaria del pipeline afectado. Este reproceso permitió que el pipeline completara su ejecución exitosamente, restaurando la disponibilidad del servicio y la correcta ingesta de datos logísticos.","Recomendación simulada Hito 2 v4 para el ticket 8798. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8798.",False
8443,Se recibió una alerta automática indicando un error en la ejecución del pipeline 'Sap_DataLake_Pipeline' dentro del Data...,Azure Data Factory,Pipelines,8443,Azure Data Factory,Pipelines,0.9037,0.75,RAG,2.623,1.0,1,1,1,Se ha escalado el incidente al equipo de BIT para su revisión y diagnóstico. Se espera que ellos investiguen la causa del error y apliquen la solución correspondiente.,"Recomendación simulada Hito 2 v4 para el ticket 8443. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8443.",False
11415,Se recibió una solicitud para validar con soporte acerca de los nuevos cambios del IR,Azure Data Factory,Linked Services,8808,Power BI,Modelado de datos,0.5363,0.65,Fallback,2.156,5.0,0,0,0,"Se realizó una sesión conjunta entre el equipo de Soporte Analítico y los responsables de infraestructura para supervisar el comportamiento del nuevo entorno.
Se ejecutaron pruebas de flujo sobre los procesos críticos de desarrollo que utilizan este IR. Los resultados confirmaron que no hubo afectación en la comunicación con Azure Data Factory ni en las tareas de integración de datos. 
Tras verificar el correcto funcionamiento del servidor bajo Windows Server 2022, se brindó la conformidad técnica para dar por cerrada la validación en el ambiente DEV. 
Se estableció como acuerdo de cierre volver a convocar una sesión de trabajo en febrero de 2026 para realizar las pruebas de humo y validación de conectividad durante la migración del IR en el ambiente de Producción (PRD).","Recomendación simulada Hito 2 v4 para el ticket 11415. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8808.",False
8550,Se observó un error en la ejecución del pipeline 'MaestroConsumo' dentro del Data Factory 'adf-analitica-prd'. La causa ...,Azure Data Factory,Accesos / Autenticación,8550,Azure Data Factory,Accesos / Autenticación,0.9152,0.75,RAG,2.078,1.0,1,1,1,"Se procedió a reprocesar los pipelines afectados, lo que implicó la renovación o revalidación del token de autenticación para permitir la continuación exitosa de las operaciones.","Recomendación simulada Hito 2 v4 para el ticket 8550. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8550.",False
8642,Se recibieron alertas de calidad de datos indicando un fallo en la ejecución del pipeline ETL_Inicial_Malla_Master dentr...,Azure Data Factory,Pipelines,9115,Azure Data Factory,Pipelines,0.9174,0.75,RAG,2.01,3.0,1,1,0,[USUARIO] identificó la causa raíz del problema y se encuentra en proceso de preparar y enviar un release para corregir el fallo en la ejecución de Databricks del pipeline ETL_Inicial_Malla_Master.,"Recomendación simulada Hito 2 v4 para el ticket 8642. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 9115.",False
6996,"Se requiere optimizar la entrega de datos a rendir, modificando el origen de DataFactory de DB_FINANZAS a sqldb-dhwcorpo...",Azure Data Factory,Pipelines,6996,Azure Data Factory,Pipelines,0.9362,0.65,RAG,2.604,6.0,1,1,1,"Se ha procedido a modificar el origen de datos en DataFactory para las tablas SAP.BSIK, SAP.BSAK y SAP.LFA1, apuntando a sqldb-dhwcorporativo. Se han actualizado las queries en los Data Flows y se ha unificado la tabla destino para el proyecto de Cuentas por Pagar Comerciales, renombrando la tabla de facturas a 'Partidas.FactIndividualAcreedores'. Se está a la espera de la aprobación del Pull Request (PR) para completar la implementación.","Recomendación simulada Hito 2 v4 para el ticket 6996. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 6996.",False
10458,"Error en el recurso adf-mantto-prd 
Error en el pipeline AUFK_SAP_to_Adls_Delta",Azure Data Factory,Pipelines,10458,Azure Data Factory,Pipelines,0.8653,0.75,RAG,2.444,1.0,1,1,1,"1. Se solucionó el problema de conexión de Sap el día 23/06/2025.
2. Se mandó a reprocesar con bit el pipeline. 
3. El pipeline finalizó de manera exitosa.","Recomendación simulada Hito 2 v4 para el ticket 10458. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 10458.",False
9112,Se observó un error 403 'Acceso denegado' durante la ejecución del pipeline RRHH_API_R0055_SAP_Datalake_Pipeline en el D...,Azure Data Factory,Accesos / Autenticación,9112,Azure Data Factory,Accesos / Autenticación,0.948,0.75,RAG,2.575,5.0,1,1,1,"Se reprocesó la carga del pipeline RRHH_API_R0055_SAP_Datalake_Pipeline. Tras el reproceso, la carga se completó con normalidad, lo que sugiere que el problema de acceso fue temporal o se resolvió con la reejecución.","Recomendación simulada Hito 2 v4 para el ticket 9112. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 9112.",False
7882,"Se requiere la actualización de códigos para los flujos del proyecto Optimus Leach-Pucamarca en los entornos DEV, QA y P...",Azure Data Factory,Pipelines,7882,Azure Data Factory,Pipelines,0.9176,0.65,RAG,1.885,2.0,1,1,1,"Se procedió con la actualización de los códigos y flujos correspondientes en los entornos DEV, QA y PRD, implementando la lógica para el almacenamiento histórico de las predicciones y evitando la sobreescritura total. Se verificó la correcta implementación y funcionamiento en cada entorno.","Recomendación simulada Hito 2 v4 para el ticket 7882. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 7882.",False
8509,Se observó un error 500 en el pipeline 'pipeline_master_Area_Solicitante' del Data Factory 'adf-logisticacorporativo-prd...,Azure Data Factory,Error de Time out,8509,Azure Data Factory,Error de Time out,0.9274,0.75,RAG,1.928,1.0,1,1,1,"Se procedió a reprocesar la carga diaria del pipeline afectado. Esta acción permitió que la extracción de datos se completara exitosamente, resolviendo la incidencia de calidad de datos reportada.","Recomendación simulada Hito 2 v4 para el ticket 8509. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8509.",False
8997,El pipeline 'ETL_Inicial_Malla_Master' en el Data Factory 'adf-lixiviacion-prd' falló durante su ejecución. El error se ...,Azure Data Factory,Pipelines,8997,Azure Data Factory,Pipelines,0.9119,0.75,RAG,1.912,1.0,1,1,1,"Se procedió a reprocesar la carga de datos. El reproceso se completó con normalidad, indicando que el problema subyacente del clúster de Databricks fue transitorio o se resolvió por sí solo.","Recomendación simulada Hito 2 v4 para el ticket 8997. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8997.",False
8945,"Se reporta un timeout en la operación de copia de datos desde SAP QM a Data Lake, específicamente en la fase de 'Copy da...",Azure Data Factory,Error de Time out,8945,Azure Data Factory,Error de Time out,0.887,0.75,RAG,1.971,0.5,1,1,1,"Se procedió a reprocesar la carga de datos. El reproceso se completó con normalidad, indicando que la causa del timeout fue probablemente temporal o transitoria.","Recomendación simulada Hito 2 v4 para el ticket 8945. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8945.",False
5710,"Se observa un problema recurrente con la carga de datos de encuestas del mes de febrero, específicamente con archivos co...",Azure Data Factory,Error de Tipo de Dato,5710,Azure Data Factory,Error de Tipo de Dato,0.7871,0.65,RAG,2.273,2.0,1,1,1,"Se recomienda investigar la causa raíz de la extensión .x;sx, ya sea solicitando al usuario el archivo correcto o validando la configuración del pipeline de Azure Data Factory para asegurar que pueda manejar la extensión proporcionada o que se aplique una transformación adecuada.","Recomendación simulada Hito 2 v4 para el ticket 5710. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 5710.",False
9009,Se reportó un error de conexión al intentar acceder a la tabla SAP 'AFVV' desde Azure Data Factory. La operación falló d...,Azure Data Factory,Conectividad,9009,Azure Data Factory,Conectividad,0.9287,0.75,RAG,2.463,1.0,1,1,1,"Se reprocesó la carga de datos desde SAP a ADLS Gen2. El reproceso se realizó con normalidad, lo que indica que el problema de conexión fue temporal o se resolvió con la reejecución.","Recomendación simulada Hito 2 v4 para el ticket 9009. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 9009.",False
11684,Llegó la alerta a través de la bandeja de soporte analítico,Azure Data Factory,Pipelines,11488,Power BI,Actualización de dataset,0.5578,0.65,Fallback,2.526,6.0,0,0,0,"Se identificó y desactivó el componente AlertaPuntoFalla asociado específicamente a ese tramo del pipeline. 
Se valido que la actividad ya no se usa, por que el dashboard se alimenta directamente del sharepoint, es por ello que se procede a borrar las actividades que ya no se utilizan 
Se realizó el pase correspondiente en el ADF para aplicar los cambios","Recomendación simulada Hito 2 v4 para el ticket 11684. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 11488.",False
11854,"El pipeline RRHH_API_FuerzaLaboral_Incremental_GIT_SQL_Pipeline no retornaba información del mes actual, limitando la vi...",Azure Data Factory,Pipelines,11854,Azure Data Factory,Pipelines,0.9371,0.75,RAG,1.855,9.0,1,1,1,"Se modificó el pipeline para que tome dinámicamente el mes vigente y capture específicamente los últimos días del mes en curso, asegurando que no se omita ningún cambio de estado en la fuerza laboral.
Se configuró un nuevo trigger programado para el día 1 y los ultimos dias de cada mes a la 1:00 AM. Este horario asegura que la información del cierre del mes anterior esté completamente disponible y se procese automáticamente al iniciar el nuevo periodo.
Se añadio la modificación para contener si no se tenia data de un mes en curso, por ejemplo, cuando se ejecute casos del 1 de mes en curso","Recomendación simulada Hito 2 v4 para el ticket 11854. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 11854.",False
11494,El usuario envió un correo a soporte para generar la carga Manual de Diciembre,Azure Data Factory,Requerimiento,11494,Azure Data Factory,Requerimiento,0.7662,0.65,RAG,2.144,8.0,1,1,1,"Se procedió con la elaboración y preparación de los archivos necesarios, consolidando la data enviada por Cristina para asegurar su compatibilidad con el modelo de datos.
Se agendó y llevó a cabo una sesión técnica con el proveedor BIT para coordinar los pasos de la ingesta.
Se realizó la carga manual de la información en el Data Factory de producción (adf-rrhh-prd).
Tras la ejecución, se validó que la información de diciembre se visualiza correctamente en los dashboards de Encuesta y Control de Actividades.","Recomendación simulada Hito 2 v4 para el ticket 11494. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 11494.",False
7904,"Se solicita la entrega de archivos PBIX correspondientes a varios reportes de BI Logístico, incluyendo 'Dashboard Semana...",Power BI,Requerimiento,7904,Power BI,Requerimiento,0.8985,0.65,RAG,5.408,1.0,1,1,1,"Se procedió a localizar y entregar los archivos PBIX de los reportes de Power BI solicitados por el usuario. La entrega se realizó exitosamente, cumpliendo con el requerimiento.","Se ha identificado un caso previo con alta similitud semántica en nuestra base de conocimiento, con el **ID: 7904** (Categoría: Power BI, SubCategoría: Requerimiento).

A continuación, se detalla el diagnóstico y la solución aplicada para este tipo de requerimiento:

*   **Diagnóstico del Requerimiento:**
    *   El requerimiento se origina por la necesidad explícita del usuario de obtener los archivos fuente (`.PBIX`) de los reportes de Power BI.
    *   El objetivo de esta solicitud es permitir al usuario realizar análisis adicionales, modificaciones o la distribución interna de dichos activos.
    *   No se ha identificado un problema técnico subyacente en la plataforma o en la generación de los reportes, sino que se trata de una solicitud directa de entrega de archivos.

*   **Solución Aplicada (Pasos):**
    *   **Localización de Archivos:** Se debe proceder a localizar los archivos `.PBIX` correspondientes a cada uno de los reportes de BI Logístico solicitados:
        *   'Dashboard Semanal'
        *   'Dashboard Pendientes de Solped'
        *   'Dashboard de Servicios Permanentes'
        *   'Dashboard Bienes y Servicios'
        *   'Reporte Tipo de Adjudicación'
    *   **Verificación de Versión:** Asegurarse de que los archivos `.PBIX` localizados corresponden a la versión más reciente y publicada de cada reporte.
    *   **Entrega al Solicitante:** Realizar la entrega de los archivos `.PBIX` al usuario o ingeniero de soporte que realizó la solicitud, utilizando el canal de comunicación",True
11994,"Pérdida de Campos Críticos: El dashboard carecía de columnas adicionales necesarias para el análisis del negocio, debido...",Power BI,Inconsistencia de Datos,11994,Power BI,Inconsistencia de Datos,0.9161,0.65,RAG,2.3,8.0,1,1,1,"Implementación de Sincronización Completa (Homologación Estricta): * Se rediseñó la lógica del SP para que funcione como un espejo fiel del SharePoint.
Comportamiento Actual: Si un dato se actualiza en la fuente, el pipeline lo actualiza en la BD; si un dato es borrado en el SharePoint, la corrida se encarga de purgarlo del Data Warehouse, garantizando la eliminación de registros basura.
Redireccionamiento del Modelo en Power BI: Se corrigieron las relaciones del dashboard, orientando los filtros del usuario hacia las tablas dimensionales autoritativas de la jerarquía, asegurando un comportamiento fluido y exacto en los reportes.
Emisión de Matriz de Respuestas: Se generó y envió un informe técnico formal dirigido a Cristina, detallando el sustento de cada corrección aplicada y brindando aclaraciones clave sobre las nuevas reglas de funcionamiento del dashboard.","Recomendación simulada Hito 2 v4 para el ticket 11994. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 11994.",False
8713,Se detectó un descuadre en los datos de las unidades Pisco y Pucamarca en el BI de Operaciones desde Abril-2024. La inco...,Power BI,Inconsistencia de Datos,8713,Power BI,Inconsistencia de Datos,0.8542,0.65,RAG,2.359,18.0,1,1,1,Se procedió a la validación y corrección de los datos históricos afectados. Se realizó un reprocesamiento de los pipelines de datos para asegurar la consistencia y exactitud de la información en el BI de Operaciones.,"Recomendación simulada Hito 2 v4 para el ticket 8713. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8713.",False
9223,Se reporta que el dashboard de Operaciones Pucamarca no muestra datos actualizados para el mes de Noviembre. La falta de...,Power BI,Actualización de dataset,9223,Power BI,Actualización de dataset,0.8579,0.65,RAG,1.999,5.0,1,1,1,"Se confirmó la actualización de los datos de Noviembre 2024 en el dashboard de Operaciones Pucamarca. Elmer verificó que la información ya se encuentra reflejada correctamente, indicando que los procesos de actualización se completaron exitosamente.","Recomendación simulada Hito 2 v4 para el ticket 9223. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 9223.",False
8978,"Se observa un error de tipo 'GatewayUnreachable' en la ejecución de pipelines de Azure Data Factory, específicamente en ...",Power BI,Conectividad,8978,Power BI,Conectividad,0.8691,0.75,RAG,2.001,1.5,1,1,1,Se ha deshabilitado el trigger de actualización del dashboard de PMO como medida temporal. Se planea una mejora futura implementando un ETL al DWH para optimizar el proceso.,"Recomendación simulada Hito 2 v4 para el ticket 8978. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8978.",False
8942,Se reporta un error en el pipeline 'RefreshDatasetMantenimientoCorporativo' dentro del Data Factory 'adf-mantto-prd'. El...,Power BI,Conectividad,8942,Power BI,Conectividad,0.9259,0.75,RAG,2.383,0.5,1,1,1,"Se procedió a reprocesar la carga de datos del pipeline. Tras el reproceso, la carga se completó con normalidad, lo que indica que el problema pudo haber sido temporal o resuelto con la reejecución.","Recomendación simulada Hito 2 v4 para el ticket 8942. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8942.",False
8968,Se observó un error de tipo 'GatewayUnreachable' durante la ejecución del pipeline 'CostosAzure_Dinamico' en el Data Fac...,Power BI,Conectividad,8968,Power BI,Conectividad,0.8826,0.75,RAG,2.504,1.0,1,1,1,Se procedió a reprocesar el servidor gateway con el equipo de Soporte Admin para restablecer su conectividad y disponibilidad.,"Recomendación simulada Hito 2 v4 para el ticket 8968. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8968.",False
9089,"El usuario reporta la necesidad de actualizar cuentas en los dashboards de Posición Monetaria (MI10, MI70, MR10, MC10) q...",Power BI,Actualización de dataset,9089,Power BI,Actualización de dataset,0.8505,0.65,RAG,2.56,4.0,1,1,1,"Se procedió a cargar la información de las cuentas faltantes en el proceso de actualización de datos ejecutado a las 7:30 AM. Tras la ejecución, las cuentas deberían ser visibles en el dashboard. Se envió un correo de confirmación al usuario, pero al no obtener respuesta, el ticket fue cerrado.","Recomendación simulada Hito 2 v4 para el ticket 9089. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 9089.",False
8706,"La información de los reportes en Vitales-Logística no se visualiza actualizada. Específicamente, una orden de compra (4...",Power BI,Inconsistencia de Datos,8706,Power BI,Inconsistencia de Datos,0.8898,0.65,RAG,1.832,1.0,1,1,1,"Se aprobó la carga de datos del día de hoy. Tras esta aprobación, el valor de la orden de compra por atender se ha reflejado actualizado en el aplicativo, resolviendo la inconsistencia reportada.","Recomendación simulada Hito 2 v4 para el ticket 8706. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 8706.",False
10225,"Error en el recurso de datafactory adf-analitica-prd. 
Pipeline: CostosAzure_Dinamico",Power BI,Actualización de dataset,10225,Power BI,Actualización de dataset,0.9066,0.75,RAG,2.217,1.0,1,1,1,"1. Verificar el servidor del gateway que esté activo.
2. Reprocesar de manera manual el pipeline mediante BIT.","Recomendación simulada Hito 2 v4 para el ticket 10225. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 10225.",False
7369,Se observan cuentas (ej. 4211*) en el dashboard de Posición Monetaria que debieron ser eliminadas según la lógica del ar...,Power BI,Inconsistencia de Datos,7369,Power BI,Inconsistencia de Datos,0.9217,0.65,RAG,2.013,2.0,1,1,1,Se investigará el pipeline de Azure Data Factory responsable de procesar el archivo 'Posición Monetaria – Lógica' y la actualización del dataset en Power BI. Se verificará si el cambio de eliminación de cuentas se está aplicando correctamente y se corregirá el proceso de actualización si es necesario.,"Recomendación simulada Hito 2 v4 para el ticket 7369. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 7369.",False
11678,Llego la alerta mediante correo a la bandeja de soporte analitico,Power BI,Publicación / Deploy,11670,Azure Data Factory,Pipelines,0.6333,0.65,Fallback,1.972,4.0,0,0,0,"Se envió una comunicación de insistencia al equipo de Soporte Admin, adjuntando la conformidad previa de los usuarios líderes de RRHH.
Tras el recordatorio, el equipo de administración procedió con la eliminación física de los dashboards y sus conjuntos de datos asociados en el Power BI Service.","Recomendación simulada Hito 2 v4 para el ticket 11678. En producción, esta recomendación se genera llamando al LLM usando el antecedente del ticket 11670.",False
